course,course_length_yards,par,fairway_width_yards,green_size_sqft,rough_penalty,green_speed_stimp,turf_type
"Aronimink Golf Club - Newton Square, PA",,,,,,,
"Augusta National Golf Club - Augusta, GA",,,,,,,
"Baltusrol - Springfield, NJ",,,,,,,
"Bay Hill - Orlando, FL",,,,,,,
"Bellerive Country Club - St. Louis, MO",,,,,,,
"Bethpage - Farmingdale, NY",,,,,,,
"Caves Valley Golf Club - Baltimore, MD",,,,,,,
"Chapultepec - Mexico City, Mexico",,,,,,,
"Colonial - Ft. Worth, TX",,,,,,,
"Congaree Golf Club - Ridgeland, SC",,,,,,,
"Congressional - Bethesda, MD",,,,,,,
"Conway Farms Golf Club - Lake Forest, IL",,,,,,,
"Country Club of Jackson - Jackson, MS",,,,,,,
"Crooked Stick - Carmel, IN",,,,,,,
"Detroit Golf Club - Detroit, MI",,,,,,,
"Eagle Point Golf Club - Wilmington, NC",,,,,,,
"East Lake Golf Club - Atlanta, GA",,,,,,,
"Firestone Country Club - Akron, OH",,,,,,,
"Glen Abbey Golf Club - Oakville, Canada",,,,,,,
"Glen Oaks Club - Old Westbury, NY",,,,,,,
"Golf Club of Houston - Houston, TX",,,,,,,
"Hamilton - Hamilton, Ontario, Canada",,,,,,,
"Harbour Town Golf Links - Hilton Head Island, SC",,,,,,,
"Innisbrook - Palm Harbor, FL",,,,,,,
"Kapalua Resort - Kapalua, HI",,,,,,,
"Keene Trace Golf Club - Nicholasville, KY",,,,,,,
"Kiawah Island Golf Resort - Kiawah Island, SC",,,,,,,
"La Quinta CC - La Quinta, CA",,,,,,,
"Liberty National - Jersey City, NJ",,,,,,,
"Medinah - Medinah, IL",,,,,,,
"Memorial Park GC - Houston, TX",,,,,,,
"Muirfield Village Golf Club - Dublin, OH",,,,,,,
"Old White Course - White Sulphur Springs, WV",,,,,,,
"Olympia Fields Country Club - Olympia Fields, IL",,,,,,,
"PGA National - Palm Beach Gardens, FL",,,,,,,
"Pebble Beach Resort - Pebble Beach, CA",,,,,,,
"Quail Hollow Club - Charlotte, NC",,,,,,,
"Redstone Golf Club - Houston, TX",,,,,,,
"Ridgewood Country Club - Paramus, NJ",,,,,,,
"Riviera Country Club - Pacific Palisades, CA",,,,,,,
"Robert Trent Jones Golf Trail - Auburn, AL",,,,,,,
"Sea Island Resort - Sea Island, GA",,,,,,,
"Sedgefield Country Club - Greensboro, NC",,,,,,,
"Shadow Creek GC - Las Vegas, NV",,,,,,,
"Sherwood CC - Thousand Oaks, CA",,,,,,,
"Silverado Resort - Napa, CA",,,,,,,
"Southern Hills Country Club - Tulsa, OK",,,,,,,
"TPC Boston - Norton, MA",,,,,,,
"TPC Craig Ranch - McKinney, TX",,,,,,,
"TPC Deere Run - Silvis, IL",,,,,,,
"TPC Four Seasons Resort Las Colinas - Irving, TX",,,,,,,
"TPC Harding Park - San Francisco, CA",,,,,,,
"TPC Potomac at Avenel Farm - Potomac, MD",,,,,,,
"TPC River Highlands - Cromwell, CT",,,,,,,
"TPC San Antonio - San Antonio, TX",,,,,,,
"TPC Sawgrass - Ponte Vedra Beach, FL",,,,,,,
"TPC Scottsdale - Scottsdale, AZ",,,,,,,
"TPC Southwind - Memphis, TN",,,,,,,
"TPC Summerlin - Las Vegas, NV",,,,,,,
"TPC Twin Cities - Blaine, MN",,,,,,,
"The Concession Golf Club - Bradenton, FL",,,,,,,
"The Summit Club - Las Vegas, NV",,,,,,,
"Torrey Pines North - La Jolla, CA",,,,,,,
"Torrey Pines South - La Jolla, CA",,,,,,,
"Trinity Forest Golf Club - Dallas, TX",,,,,,,
"Vidanta Vallarta - Villa Hidalgo, Mexico",,,,,,,
"Waialae CC - Honolulu, HI",,,,,,,
"Whistling Straits - Kohler, WI",,,,,,,
"Winged Foot GC - Mamaroneck, NY",,,,,,,
